date,open,high,low,close,volume,linreg_21_high,pwma_22_low,$Alert
2024-11-10 12:31:00+00:00,79444.0,79484.1,79392.3,79469.6,116.092,,,False
2024-11-10 12:32:00+00:00,79469.6,79489.0,79386.1,79395.8,59.139,,,False
2024-11-10 12:33:00+00:00,79395.8,79450.0,79386.2,79450.0,82.949,,,False
2024-11-10 12:34:00+00:00,79450.0,79469.2,79439.4,79453.7,40.68,,,False
2024-11-10 12:35:00+00:00,79453.7,79500.0,79412.0,79492.8,71.582,,,False
2024-11-10 12:36:00+00:00,79492.8,79497.9,79451.4,79476.7,46.614,,,False
2024-11-10 12:37:00+00:00,79476.7,79476.7,79424.4,79426.5,29.778,,,False
2024-11-10 12:38:00+00:00,79426.5,79426.6,79388.0,79390.7,58.749,,,False
2024-11-10 12:39:00+00:00,79390.7,79452.5,79372.2,79395.0,67.093,,,False
2024-11-10 12:40:00+00:00,79395.0,79456.6,79395.0,79417.6,36.174,,,False
2024-11-10 12:41:00+00:00,79417.6,79458.4,79417.5,79447.6,37.296,,,False
2024-11-10 12:42:00+00:00,79447.6,79488.0,79440.2,79488.0,55.681,,,False
2024-11-10 12:43:00+00:00,79488.0,79500.6,79477.0,79496.5,75.923,,,False
2024-11-10 12:44:00+00:00,79496.5,79520.3,79496.3,79510.7,65.311,,,False
2024-11-10 12:45:00+00:00,79510.7,79520.0,79483.9,79487.0,75.31,,,False
2024-11-10 12:46:00+00:00,79487.0,79516.2,79427.9,79486.2,54.595,,,False
2024-11-10 12:47:00+00:00,79486.2,79534.9,79474.0,79474.1,79.137,,,False
2024-11-10 12:48:00+00:00,79474.1,79474.1,79402.5,79472.2,84.543,,,False
2024-11-10 12:49:00+00:00,79472.2,79672.2,79472.1,79614.8,221.495,,,False
2024-11-10 12:50:00+00:00,79614.8,79648.9,79593.3,79630.4,114.821,,,False
2024-11-10 12:51:00+00:00,79630.4,79650.0,79595.2,79608.0,99.293,79576.57471861472,,False
2024-11-10 12:52:00+00:00,79608.0,79695.2,79608.0,79695.1,83.428,79605.22203463204,79433.13103775977,False
2024-11-10 12:53:00+00:00,79695.1,79733.0,79676.6,79733.0,170.686,79638.01679653682,79445.69630513192,False
2024-11-10 12:54:00+00:00,79733.0,79744.1,79700.0,79739.2,82.886,79666.62844155845,79455.50303087235,False
2024-11-10 12:55:00+00:00,79739.2,79739.2,79680.0,79688.4,51.873,79692.55077922078,79461.248306036,False
2024-11-10 12:56:00+00:00,79688.4,79700.0,79630.0,79683.3,37.797,79711.36212121212,79464.63079366682,False
2024-11-10 12:57:00+00:00,79683.3,79683.3,79646.7,79652.5,19.081,79724.91861471861,79469.83157634735,False
2024-11-10 12:58:00+00:00,79652.5,79697.9,79643.9,79659.0,80.592,79736.99363636365,79481.49350724221,False
2024-11-10 12:59:00+00:00,79659.0,79719.5,79652.0,79716.7,78.17,79745.98073593075,79502.24751439094,False
2024-11-10 13:00:00+00:00,79716.7,79729.8,79667.4,79680.4,71.397,79755.33536796537,79531.26411356927,False
2024-11-10 13:01:00+00:00,79680.4,79705.4,79652.9,79664.0,47.771,79757.76688311687,79564.64491820335,False
2024-11-10 13:02:00+00:00,79664.0,79713.9,79663.9,79713.8,34.504,79758.83432900434,79597.16668181418,False
2024-11-10 13:03:00+00:00,79713.8,79768.0,79700.0,79765.3,79.912,79768.21116883117,79624.17789082527,False
2024-11-10 13:04:00+00:00,79765.3,79768.5,79750.7,79754.5,91.091,79775.41753246755,79642.86547141077,False
2024-11-10 13:05:00+00:00,79754.5,79754.6,79715.7,79727.6,67.174,79778.80077922076,79652.81633725167,False
2024-11-10 13:06:00+00:00,79727.6,79752.0,79727.5,79741.4,44.37,79778.99346320346,79655.9062887192,False
2024-11-10 13:07:00+00:00,79741.4,79762.4,79715.3,79715.4,71.418,79777.87766233766,79655.4203361988,False
2024-11-10 13:08:00+00:00,79715.4,79736.7,79692.2,79716.0,42.462,79771.1703030303,79654.67895941733,False
2024-11-10 13:09:00+00:00,79716.0,79748.8,79711.5,79740.0,35.684,79759.1728138528,79655.96567339897,False
2024-11-10 13:10:00+00:00,79740.0,79749.8,79700.0,79702.6,43.026,79760.16571428571,79660.32140107155,False
2024-11-10 13:11:00+00:00,79702.6,79748.0,79663.4,79663.5,46.434,79758.06930735931,79667.90304780005,False
2024-11-10 13:12:00+00:00,79663.5,79672.5,79656.0,79656.1,38.359,79742.48372294373,79678.18549580574,False
2024-11-10 13:13:00+00:00,79656.1,79672.5,79602.3,79602.4,61.476,79730.29419913418,79689.82385191915,False
2024-11-10 13:14:00+00:00,79602.4,79660.4,79602.3,79660.4,28.839,79719.43952380952,79700.70314087867,False
2024-11-10 13:15:00+00:00,79660.4,79665.7,79613.1,79616.8,30.937,79711.20385281385,79708.6037334919,False
2024-11-10 13:16:00+00:00,79616.8,79676.1,79612.0,79632.7,39.668,79705.19870129871,79712.12822394373,True
2024-11-10 13:17:00+00:00,79632.7,79667.6,79621.8,79650.1,20.998,79695.35948051947,79711.09591059684,False
2024-11-10 13:18:00+00:00,79650.1,79685.1,79650.0,79671.0,18.539,79687.42584415583,79706.09189138413,False
2024-11-10 13:19:00+00:00,79671.0,79778.3,79656.6,79771.5,121.371,79695.98467532465,79697.70160980224,False
2024-11-10 13:20:00+00:00,79771.5,79827.1,79752.2,79814.9,210.218,79713.38004329002,79686.22692079545,False
2024-11-10 13:21:00+00:00,79814.9,79817.0,79782.9,79805.1,86.819,79728.69008658009,79672.12699079512,False
2024-11-10 13:22:00+00:00,79805.1,79848.5,79805.0,79839.9,71.063,79746.18748917748,79656.67520260811,False
