date,open,high,low,close,volume,t3_7_BBL_54_2.0,tema_54_BBU_54_2.0,$signals,@exit,£order_executed_1,order_1,£order_executed_2,order_2,£order_executed_3,order_3,£order_executed_4,order_4,£order_executed_5,order_5
1738964100,189.67,189.85,189.48,189.77,4718.5,,,False,False,False,,False,,False,,False,,False,
1738964400,189.77,190.18,189.26,190.09,20278.2,,,False,False,False,,False,,False,,False,,False,
1738964700,190.09,190.17,189.47,189.94,20395.0,,,False,False,False,,False,,False,,False,,False,
1738965000,189.94,190.06,189.33,189.86,17424.3,,,False,False,False,,False,,False,,False,,False,
1738965300,189.86,189.89,189.23,189.38,26139.699999999997,,,False,False,False,,False,,False,,False,,False,
1738965600,189.38,189.39,188.0,188.09,69856.3,,,False,False,False,,False,,False,,False,,False,
1738965900,188.09,189.69,188.09,189.69,43166.0,,,False,False,False,,False,,False,,False,,False,
1738966200,189.69,189.7,188.5,188.55,40557.4,,,False,False,False,,False,,False,,False,,False,
1738966500,188.55,189.0,188.0,188.63,19631.3,,,False,False,False,,False,,False,,False,,False,
1738966800,188.63,188.96,187.95,187.96,18682.7,,,False,False,False,,False,,False,,False,,False,
1738967100,187.96,188.93,187.92,188.81,24173.2,,,False,False,False,,False,,False,,False,,False,
1738967400,188.81,188.88,188.06,188.88,22412.8,,,False,False,False,,False,,False,,False,,False,
1738967700,188.88,189.29,188.31,189.09,13986.5,,,False,False,False,,False,,False,,False,,False,
1738968000,189.09,189.29,188.87,189.2,15107.1,,,False,False,False,,False,,False,,False,,False,
1738968300,189.2,189.2,188.93,189.02,5364.8,,,False,False,False,,False,,False,,False,,False,
1738968600,189.02,189.24,188.9,189.23,10151.7,,,False,False,False,,False,,False,,False,,False,
1738968900,189.23,190.06,189.11,189.79,57126.2,,,False,False,False,,False,,False,,False,,False,
1738969200,189.79,189.9,189.28,189.78,39077.5,,,False,False,False,,False,,False,,False,,False,
1738969500,189.78,190.55,189.37,190.49,27107.4,,,False,False,False,,False,,False,,False,,False,
1738969800,190.49,190.73,190.11,190.71,30546.4,,,False,False,False,,False,,False,,False,,False,
1738970100,190.71,191.44,190.28,191.26,41371.7,,,False,False,False,,False,,False,,False,,False,
1738970400,191.26,191.27,190.85,191.26,16604.6,,,False,False,False,,False,,False,,False,,False,
1738970700,191.26,191.6,190.95,191.43,25192.3,,,False,False,False,,False,,False,,False,,False,
1738971000,191.43,191.71,191.13,191.63,18918.2,,,False,False,False,,False,,False,,False,,False,
1738971300,191.63,191.73,191.24,191.67,21789.0,,,False,False,False,,False,,False,,False,,False,
1738971600,191.67,192.1,191.36,191.95,14332.8,,,False,False,False,,False,,False,,False,,False,
