date,open,high,low,close,volume,t3_7_BBL_54_2.0,tema_54_BBU_54_2.0,$signals,@exit,£order_executed_1,order_1,£order_executed_2,order_2,£order_executed_3,order_3,£order_executed_4,order_4,£order_executed_5,order_5
1738363920,230.54,230.57,230.0,230.0,4858.5,,,False,False,False,,False,,False,,False,,False,
1738363980,230.0,230.09,230.0,230.03,2862.0,,,False,False,False,,False,,False,,False,,False,
1738364040,230.03,230.03,229.86,230.01,3615.1,228.99928478475044,231.62849299302718,False,False,False,,False,,False,,False,,False,
1738364100,230.01,230.06,229.85,230.06,3710.8,228.99963368766612,231.6283371980056,False,False,False,,False,,False,,False,,False,
1738364160,230.06,230.35,230.06,230.32,2690.6,229.00099406488926,231.62805930480667,False,False,False,,False,,False,,False,,False,
1738364220,230.32,230.93,230.32,230.77,5704.7,229.00407428567723,231.62803848722075,False,False,False,,False,,False,,False,,False,
1738364280,230.77,230.84,230.69,230.71,1283.1,229.00955565662252,231.62930074057627,False,False,False,,False,,False,,False,,False,
1738364340,230.71,231.14,230.71,231.05,3558.2,229.01852710837375,231.63133509903736,False,False,False,,False,,False,,False,,False,
1738364400,231.05,231.05,230.43,230.92,6395.3,229.0317719380041,231.63301634548853,False,False,False,,False,,False,,False,,False,
1738364460,230.92,230.97,230.55,230.72,3113.0,229.04970439013823,231.63456570878054,False,False,False,,False,,False,,False,,False,
1738364520,230.72,230.98,230.55,230.91,4284.0,229.07196090954722,231.63617416301187,False,False,False,,False,,False,,False,,False,
1738364580,230.91,230.91,230.46,230.61,3687.6,229.09886202177643,231.6365558090674,False,False,False,,False,,False,,False,,False,
1738364640,230.61,230.63,230.23,230.44,6246.7,229.12930723508362,231.6363299554573,False,False,False,,False,,False,,False,,False,
1738364700,230.44,230.57,230.31,230.39,2035.2,229.16100349183432,231.63616666542146,False,False,False,,False,,False,,False,,False,
1738364760,230.39,230.39,229.84,230.12,2621.7,229.19110590591958,231.63613601531617,False,False,False,,False,,False,,False,,False,
1738364820,230.12,230.25,229.98,230.12,2044.4,229.2189262870653,231.63514599318916,False,False,False,,False,,False,,False,,False,
1738364880,230.12,230.25,230.05,230.2,830.9,229.24451889786712,231.63350701567535,False,False,False,,False,,False,,False,,False,
1738364940,230.2,230.51,230.17,230.47,1540.5,229.26924525755658,231.63049484253227,False,False,False,,False,,False,,False,,False,
1738365000,230.47,230.6,230.4,230.49,1824.4,229.2948719017595,231.6263527176441,False,False,False,,False,,False,,False,,False,
1738365060,230.49,230.55,230.33,230.54,2055.4,229.3232437008703,231.62038517280757,False,False,False,,False,,False,,False,,False,
1738365120,230.54,230.73,230.42,230.63,2817.9,229.3557728200973,231.61267927772275,False,False,False,,False,,False,,False,,False,
1738365180,230.63,230.63,230.42,230.43,521.3,229.39353454794673,231.60281055023532,False,False,False,,False,,False,,False,,False,
